date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:46	337165/337165	---M-Z	200	added ('OK')	text/html	etag:W/%229c4d037e89529949ff4df5ff9e0d7299--gzip%22	https://www.jonahpatenaude.com/	C:/Users/Jonah/Desktop/Website/Portfolio/www.jonahpatenaude.com/index.html	(from )
00:23:46	345/345	---M-Z	200	added ('OK')	text/plain	date:Sun,%2026%20Nov%202023%2004:56:40%20GMT	https://www.jonahpatenaude.com/robots.txt		(from )
00:23:47	19442/19442	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2026%20Nov%202023%2005:23:47%20GMT	http://use.typekit.net/ik/tcUTo1LanhHnoDm78brjPLcmBKNkKrLZBdQ_1fRO7iCfe09IfFHN4UJLFRbh52jhWDjuwD6oFcmKwDqk5QZyFhIUw2bUjAZ8js7dMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0deNKSas8SKuKScN0pc9ljcZRSkoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeTzdcBGSeBXZAoyiAs8OcFzdPUCdh4DiemkOA4kdhoEZPuKZcFDO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0-cN0jAy3jWs8dcBuZe90jhNlOYiaikoCdh4DiemkOA4kdhoEZPuKZcFDO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJHdA80-AN0OWgkdkJZdcmuZPuGjABDOAikdas8ShClZe8DSeUypPG4fHIuIMMjgfMfH6qJ129bMg6YJMJ7fbKpFsMMeMt6MKG4f4XuIMMjIPMfH6GJkObfIMIjgPMfH6GJknbfIMIjgKMfH6GJDObfIMIjgkMfH6GJkdbfIMIj2kMfH6GJk_bfIMIjIfMfH6GJDdbfIMIjIPMfqMYgn0HTg6.js	C:/Users/Jonah/Desktop/Website/Portfolio/use.typekit.net/ik/tcUTo1LanhHnoDm78brjPLcmBKNkKrLZBdQ_1fRO7iCfe09IfFHN4UJLFRbh52jhWDjuwD6oFcmKwDqk5QZyFhIUw2bUjAZ8js7dMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0	(from https://www.jonahpatenaude.com/)
00:23:49	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.jonahpatenaude.com/)
00:23:50	48072/48072	---M-Z	200	added ('OK')	text/javascript	etag:%22ef81ac777b1229e33ee28b07b964f0f5%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-74b4378d28bbaa8e739b2-min.en-US.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-74b4378d28bbaa8e739b2-min.en-US.js	(from https://www.jonahpatenaude.com/)
00:23:53	124578/124578	---M-Z	200	added ('OK')	text/javascript	etag:%223928ae779effa841561293a3516d226a%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	(from https://www.jonahpatenaude.com/)
00:23:53	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.jonahpatenaude.com/)
00:24:04	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%221af8081d95ce0e7a8730faceb7e46df7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-988cea152e72258d821b3-min.en-US.js	(from https://www.jonahpatenaude.com/)
00:24:12	1370874/1370874	---M-Z	200	added ('OK')	text/javascript	etag:%22ec891f64e070ff9f9bc701d6c5f3fe4c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	C:/Users/Jonah/Desktop/Website/Portfolio/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	(from https://www.jonahpatenaude.com/)
00:24:17	1077788/1077788	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2005:24:13%20GMT	https://static1.squarespace.com/static/versioned-site-css/653896eb39296a7a1041afea/2/5c5a519771c10ba3470d8101/653896eb39296a7a1041aff1/1465/site.css	C:/Users/Jonah/Desktop/Website/Portfolio/static1.squarespace.com/static/versioned-site-css/653896eb39296a7a1041afea/2/5c5a519771c10ba3470d8101/653896eb39296a7a1041aff1/1465/site.css	(from https://www.jonahpatenaude.com/)
